Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10847,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,"Krakauer, Jon",,"=""0330419129""","=""9780330419123""",0,4.01,Pan MacMillan,Paperback,400,2004,2003,,2024/05/27,to-read,to-read (#85),to-read,,,,0,0
43231095,American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Maureen Callahan,"Callahan, Maureen",,"=""052542864X""","=""9780525428640""",0,4.08,Viking,Hardcover,285,2019,2019,,2024/05/27,to-read,to-read (#84),to-read,,,,0,0
5632446,Columbine,Dave Cullen,"Cullen, Dave",,"=""0446546933""","=""9780446546935""",0,4.29,Twelve,Hardcover,417,2009,2009,,2024/05/27,to-read,to-read (#83),to-read,,,,0,0
107453,The Evil That Men Do: FBI Profiler Roy Hazelwood's Journey into the Minds of Sexual Predators,Stephen G. Michaud,"Michaud, Stephen G.",Roy Hazelwood,"=""0312198779""","=""9780312198770""",0,4.04,St Martins Pr,Hardcover,262,1999,1999,,2024/05/27,to-read,to-read (#82),to-read,,,,0,0
156297,"Dark Dreams: Sexual Violence, Homicide and the Criminal Mind",Roy Hazelwood,"Hazelwood, Roy",Stephen G. Michaud,"=""0312980116""","=""9780312980115""",0,4.05,St. Martin's Press,Mass Market Paperback,288,2002,2001,,2024/05/27,to-read,to-read (#81),to-read,,,,0,0
94333,Anyone You Want Me to Be: A True Story of Sex and Death on the Internet,John E. Douglas,"Douglas, John E.",Stephen Singular,"=""0743448804""","=""9780743448802""",0,3.79,Pocket Star,Mass Market Paperback,397,2004,2003,,2024/05/27,to-read,to-read (#80),to-read,,,,0,0
57693618,Unmasked: My Life Solving America's Cold Cases,Paul Holes,"Holes, Paul",Robin Gaby Fisher,"=""1250622794""","=""9781250622792""",0,4.09,Celadon Books,Hardcover,288,2022,2022,,2024/05/27,to-read,to-read (#79),to-read,,,,0,0
35068432,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,"McNamara, Michelle","Gillian Flynn, Patton Oswalt","=""0062319809""","=""9780062319807""",0,4.12,Harper,ebook,352,2018,2018,,2024/05/27,to-read,to-read (#78),to-read,,,,0,0
59414094,How to Sell a Haunted House,Grady Hendrix,"Hendrix, Grady",,"=""0593201264""","=""9780593201268""",0,3.65,Berkley,Hardcover,419,2023,2023,,2024/05/27,to-read,to-read (#77),to-read,,,,0,0
43514918,Supermarket,Bobby Hall,"Hall, Bobby",,"=""1982127139""","=""9781982127138""",1,3.32,Simon & Schuster,Paperback,288,2019,2019,2024/05/27,2022/03/21,,,read,,,,1,0
